layer,coordinate,seed,teacher_direction_norm,teacher_direction_over_mean_base_norm,teacher_half_split_cosine,teacher_mean_row_cosine_to_direction,student_teacherward_projection,student_fraction_of_teacher_direction,student_cosine_to_teacher_direction,student_delta_norm,student_delta_over_mean_base_norm
0,transported_jspace,54101,3.129702091217041,0.07658426702090927,0.9984526634216309,0.9905349016189575,-0.46140697598457336,-0.14742840134191396,-0.14725428819656372,3.1334023475646973,0.07667481283387018
0,transported_jspace,54102,3.129702091217041,0.07658426702090927,0.9984526634216309,0.9905349016189575,0.48136210441589355,0.15380444859807957,0.15941360592842102,3.0195796489715576,0.07388955478437075
0,transported_jspace,54103,3.129702091217041,0.07658426702090927,0.9984526634216309,0.9905349016189575,0.11098164319992065,0.03546076909727962,0.03148555010557175,3.524840831756592,0.08625336968109858
1,transported_jspace,54101,3.756345748901367,0.11464529997272134,0.9986510276794434,0.9844894409179688,-1.3491806983947754,-0.35917372589820185,-0.1713447868824005,7.8740692138671875,0.2403200044335102
1,transported_jspace,54102,3.756345748901367,0.11464529997272134,0.9986510276794434,0.9844894409179688,-0.6405963897705078,-0.17053712107248528,-0.1031542718410492,6.210081100463867,0.18953436616579722
1,transported_jspace,54103,3.756345748901367,0.11464529997272134,0.9986510276794434,0.9844894409179688,-0.15583151578903198,-0.04148487019189025,-0.02385062910616398,6.533646106719971,0.1994097103653443
2,transported_jspace,54101,3.8300130367279053,0.07498292091473321,0.9983024001121521,0.9726753830909729,1.9050407409667969,0.497397978204881,0.23604847490787506,8.070548057556152,0.15800292608280186
2,transported_jspace,54102,3.8300130367279053,0.07498292091473321,0.9983024001121521,0.9726753830909729,1.1807398796081543,0.30828612547410433,0.1227530837059021,9.618821144104004,0.18831458228076878
2,transported_jspace,54103,3.8300130367279053,0.07498292091473321,0.9983024001121521,0.9726753830909729,1.0956275463104248,0.2860636597849422,0.13226118683815002,8.283818244934082,0.16217826998901785
3,transported_jspace,54101,7.002923488616943,0.1492089470535739,0.998988687992096,0.9925297498703003,-4.207495212554932,-0.6008198175225101,-0.46380046010017395,9.071778297424316,0.19328934406642728
3,transported_jspace,54102,7.002923488616943,0.1492089470535739,0.998988687992096,0.9925297498703003,-6.2350335121154785,-0.8903472274472728,-0.5985928773880005,10.416149139404297,0.2219334036663096
3,transported_jspace,54103,7.002923488616943,0.1492089470535739,0.998988687992096,0.9925297498703003,-2.545945882797241,-0.36355471924484184,-0.3068274259567261,8.297647476196289,0.176795197742409
4,transported_jspace,54101,4.652722358703613,0.09755286278833858,0.9974057674407959,0.9086427688598633,0.8879872560501099,0.1908532655917018,0.11442265659570694,7.760589599609375,0.16271500295973867
4,transported_jspace,54102,4.652722358703613,0.09755286278833858,0.9974057674407959,0.9086427688598633,-1.2329305410385132,-0.26499121288252503,-0.13135844469070435,9.386000633239746,0.19679472818593413
4,transported_jspace,54103,4.652722358703613,0.09755286278833858,0.9974057674407959,0.9086427688598633,-1.4086871147155762,-0.3027662099975547,-0.1150912493467331,12.239740371704102,0.25662861890139266
5,transported_jspace,54101,8.43814468383789,0.1475295438047581,0.9969668388366699,0.9657114148139954,0.3863205909729004,0.0457826460018924,0.02450677379965782,15.763840675354004,0.2756094272595605
